Time (s),LVDT (V),Potentiometer (V),Accelerometer (V),Tachometer (V)
.005,8.5444,7.2986,3.0938,.0047
.01,8.546,7.2979,3.4573,.0044
.015,8.5499,7.2969,3.7415,.0042
.02,8.5386,7.3135,3.9607,.0046
.025,8.5386,7.2982,4.1235,.0047
.03,8.5415,7.2979,4.2452,.0057
.035,8.5392,7.2979,4.325,.0097
.04,8.5376,7.2982,4.385,.0178
.045,8.5272,7.2973,4.4398,.0201
.05,8.5318,7.2969,4.4793,.0314
.055,8.5168,7.294,4.5468,.0535
.06,8.5178,7.2934,4.6019,.0764
.065,8.5104,7.2898,4.6519,.0999
.07,8.5,7.2853,4.7028,.1237
.075,8.511,7.2798,4.7408,.1572
.08,8.4734,7.2733,4.769,.1937
.085,8.4666,7.2678,4.7719,.2115
.09,8.4371,7.2561,4.7774,.2379
.095,8.4095,7.246,4.77,.2741
.1,8.3894,7.2344,4.7158,.2969
.105,8.3654,7.222,4.6989,.3173
.11,8.3488,7.2091,4.6837,.34
.115,8.3183,7.1958,4.5475,.3368
.12,8.2966,7.186,4.43,.3253
.125,8.2778,7.1682,4.3383,.3339
.13,8.2629,7.1555,4.3123,.3282
.135,8.2327,7.1442,4.229,.2821
.14,8.223,7.1325,4.0778,.2294
.145,8.2077,7.1241,3.9967,.2145
.15,8.1808,7.116,3.7298,.1958
.155,8.1708,7.1059,3.5793,.2016
.16,8.1513,7.1017,3.4376,.2152
.165,8.1338,7.0949,3.3059,.2111
.17,8.115,7.0855,3.2462,.2173
.175,8.101,7.0777,3.3276,.2489
.18,8.089,7.0673,3.3565,.2884
.185,8.0598,7.0563,3.2624,.3
.19,8.0352,7.0443,3.2031,.3206
.195,8.0001,7.0323,3.0561,.3151
.2,7.9755,7.0193,3.0587,.3169
.205,7.9476,7.0076,3.0218,.319
.21,7.9242,6.9953,3.0704,.3146
.215,7.9846,6.9846,2.8774,.285
.22,7.898,6.9697,2.8443,.2492
.225,7.8785,6.9632,2.8901,.2408
.23,7.9217,6.9538,2.9128,.2285
.235,7.8373,6.9463,2.9754,.2191
.24,7.8156,6.9369,2.9416,.206
.245,7.8007,6.9291,2.978,.1979
.25,7.7922,6.9226,3.0068,.1869
.255,7.7809,6.9094,3.2738,.2175
.26,7.7715,6.9051,3.36,.2497
.265,7.7452,6.8951,3.1817,.2487
.27,7.7293,6.8876,3.0925,.2558
.275,7.6923,6.8743,3.1722,.285
.28,7.6625,6.8626,3.2657,.3151
.285,7.6427,6.8526,3.1745,.3203
.29,7.6142,6.8309,3.1009,.3313
.295,7.5937,6.8237,2.9066,.3191
.3,7.5671,6.8117,2.8028,.2908
.305,7.5461,6.8007,2.8803,.2914
.31,7.4968,6.788,2.9906,.2871
.315,7.4799,6.778,2.8894,.256
.32,7.4582,6.765,2.7876,.2246
.325,7.4322,6.766,2.8275,.2176
.33,7.4202,6.7498,2.8936,.1992
.335,7.4157,6.741,3.0256,.1966
.34,7.4037,6.7332,3.0672,.2103
.345,7.3926,6.7248,3.1122,.2111
.35,7.38,6.7154,3.0308,.21
.355,7.3573,6.7096,3.1602,.2382
.36,7.3352,6.6979,3.2339,.2626
.365,7.3226,6.6878,3.1096,.2625
.37,7.2986,6.6768,3.0762,.278
.375,7.2908,6.6667,3.0325,.2816
.38,7.271,6.6564,3.049,.2793
.385,7.2515,6.644,3.0522,.2937
.39,7.2305,6.6359,3.085,.2958
.395,7.1977,6.623,2.9248,.2837
.4,7.1763,6.61,2.8596,.2693
.405,7.1477,6.6025,2.9157,.2613
.41,7.126,6.5928,2.9624,.2527
.415,7.1176,6.5824,3.0273,.2461
.42,7.1049,6.5701,3.0698,.2592
.425,7.0946,6.5724,3.0539,.2495
.43,7.0744,6.5522,2.9617,.2438
.435,7.0358,6.5422,2.9864,.2493
.44,7.019,6.5292,3.0931,.2508
.445,6.9924,6.5214,3.0996,.26
.45,6.97,6.5101,3.0805,.2646
.455,6.9635,6.4987,3.1421,.2765
.46,6.9392,6.4968,3.0957,.2842
.465,6.9201,6.478,3.0467,.2944
.47,6.8944,6.4663,3.097,.3042
.475,6.8526,6.4559,2.928,.2921
.48,6.8227,6.4446,2.8258,.2728
.485,6.7965,6.4339,2.905,.2663
.49,6.7786,6.4212,2.9326,.2631
.495,6.7676,6.4112,2.9695,.2561
.5,6.7498,6.4024,2.8946,.2489
.505,6.7387,6.3936,2.8868,.2291
.51,6.7141,6.3839,2.8726,.2137
.515,6.6872,6.3764,3.0714,.228
.52,6.6758,6.3661,3.1661,.2364
.525,6.6635,6.3593,3.0565,.2315
.53,6.645,6.3492,2.9572,.2361
.535,6.6324,6.3404,3.0049,.2515
.54,6.6204,6.3294,3.0662,.2615
.545,6.6025,6.3194,3.1424,.2798
.55,6.5795,6.3087,3.1755,.2905
.555,6.5503,6.2937,3.0046,.283
.56,6.5247,6.295,2.9264,.2694
.565,6.4981,6.273,3.0256,.2877
.57,6.4799,6.261,3.0821,.2937
.575,6.465,6.2503,2.9222,.2793
.58,6.429,6.2379,2.7765,.271
.585,6.4115,6.2263,2.846,.2662
.59,6.3859,6.2117,2.8881,.2553
.595,6.3567,6.2136,2.939,.2477
.6,6.3353,6.1961,2.8888,.2345
.605,6.3181,6.1877,2.8288,.2218
.61,6.2944,6.1815,2.8508,.2202
.615,6.271,6.1698,3.2069,.2495
.62,6.2684,6.1591,3.2297,.2694
.625,6.2415,6.1491,3.0626,.2659
.63,6.2159,6.1371,2.9092,.2673
.635,6.1883,6.126,2.8372,.2731
.64,6.1744,6.1153,2.857,.2586
.645,6.151,6.105,2.9614,.2688
.65,6.1345,6.0933,2.9893,.2769
.655,6.1192,6.0829,2.8713,.2566
.66,6.1033,6.0693,2.8463,.2599
.665,6.0865,6.0628,2.9919,.2659
.67,6.0638,6.0524,2.9968,.2584
.675,6.055,6.0424,2.9689,.257
.68,6.0346,6.0317,2.9958,.2532
.685,6.018,6.02,2.9442,.2484
.69,5.9976,6.0109,2.9494,.25
.695,5.983,6.0093,3.0834,.2685
.7,5.9639,5.9921,3.0743,.2774
.705,5.9311,5.982,2.9303,.2683
.71,5.9097,5.9713,2.9494,.2738
.715,5.8821,5.9603,2.966,.2804
.72,5.863,5.9506,2.9864,.2701
.725,5.8354,5.9383,3.0075,.2709
.73,5.8134,5.937,2.9371,.2694
.735,5.7855,5.9181,2.7162,.2432
.74,5.7644,5.9084,2.6929,.2387
.745,5.7466,5.8984,2.9497,.2487
.75,5.7287,5.8886,2.975,.234
.755,5.7067,5.8779,3.0253,.2244
.76,5.6872,5.8695,3.0072,.2379
.765,5.669,5.8581,3.0078,.2411
.77,5.6493,5.8478,3.026,.2584
.775,5.6288,5.8384,3.1414,.2822
.78,5.6107,5.827,3.122,.2976
.785,5.5876,5.8144,2.9708,.2973
.79,5.5643,5.8001,2.9952,.3104
.795,5.5484,5.791,2.8748,.2986
.8,5.5254,5.7777,2.8093,.2659
.805,5.5072,5.766,2.8557,.2688
.81,5.4842,5.7563,2.8897,.262
.815,5.4715,5.7459,2.7545,.239
.82,5.4504,5.7365,2.8216,.2306
.825,5.4336,5.7277,2.8635,.2217
.83,5.4148,5.718,2.7902,.1962
.835,5.4018,5.7109,2.9617,.212
.84,5.3826,5.7021,3.0714,.2267
.845,5.3632,5.694,2.9984,.2236
.85,5.3486,5.6843,2.9841,.2304
.855,5.323,5.6742,3.1139,.2537
.86,5.3058,5.6664,3.0834,.2697
.865,5.2701,5.6428,3.0584,.2861
.87,5.2474,5.6415,3.1093,.3086
.875,5.2146,5.6282,2.9027,.2961
.88,5.1877,5.6204,2.8336,.2897
.885,5.1835,5.6048,2.9747,.3041
.89,5.1472,5.5915,2.9854,.3062
.895,5.1261,5.5831,2.8106,.2903
.9,5.1044,5.5688,2.7723,.2748
.905,5.0768,5.5584,2.7811,.2655
.91,5.0635,5.5481,2.7973,.2521
.915,5.0456,5.5387,2.8979,.2466
.92,5.0246,5.5292,2.9196,.2382
.925,5.0158,5.5215,2.8155,.2209
.93,5.0038,5.5114,2.8142,.2082
.935,4.9918,5.5046,3.0123,.233
.94,4.9691,5.4942,3.1229,.257
.945,4.9513,5.4842,3.0205,.2597
.95,4.9406,5.4735,2.9877,.2672
.955,4.9101,5.4618,2.8502,.2607
.96,4.8893,5.4524,2.8797,.2639
.965,4.8754,5.4375,3.0279,.2783
.97,4.8517,5.4277,3.0587,.2921
.975,4.8283,5.4167,2.9069,.2859
.98,4.8099,5.4057,2.8372,.2782
.985,4.7846,5.3924,2.831,.2799
.99,4.7547,5.3817,2.9196,.2825
.995,4.7317,5.3703,2.9121,.2749
1,4.7061,5.3548,2.857,.2595
1.005,4.6808,5.3499,2.7814,.2448
1.01,4.6535,5.3408,2.7211,.2358
1.015,4.6383,5.3291,2.8787,.2385
1.02,4.6201,5.3217,2.9728,.2495
1.025,4.6114,5.3126,2.8936,.2421
1.03,4.5896,5.3009,2.8096,.2205
1.035,4.577,5.2922,2.8615,.2312
1.04,4.5494,5.2827,2.9997,.2406
1.045,4.529,5.2727,3.0156,.2393
1.05,4.5098,5.2623,2.977,.2521
1.055,4.4897,5.251,2.9102,.257
1.06,4.4732,5.2399,2.9225,.2646
1.065,4.4664,5.2231,2.9835,.2812
1.07,4.4479,5.2169,2.9825,.2837
1.075,4.4226,5.2052,2.8151,.273
1.08,4.3937,5.1955,2.7629,.2628
1.085,4.3733,5.1841,2.8275,.2613
1.09,4.3522,5.1734,2.8414,.2654
1.095,4.3357,5.1627,2.8619,.26
1.1,4.3175,5.1504,2.8057,.2523
1.105,4.3165,5.1436,2.7441,.2404
1.11,4.2958,5.1352,2.7671,.2277
1.115,4.2763,5.1251,2.9296,.2361
1.12,4.2507,5.1157,3.0211,.2474
1.125,4.2157,5.1073,2.9559,.2437
1.13,4.1946,5.0946,2.8233,.239
1.135,4.1686,5.0842,2.8135,.2493
1.14,4.1459,5.0758,2.8936,.2613
1.145,4.1326,5.0664,3.0172,.2736
1.15,4.1193,5.0583,2.9832,.2785
1.155,4.0853,5.0444,2.939,.2778
1.16,4.0606,5.0375,2.8849,.2829
1.165,4.0292,5.0191,2.9014,.288
1.17,3.999,5.0084,2.9439,.2955
1.175,3.9896,4.9989,2.7542,.2746
1.18,3.9711,4.9869,2.7221,.26
1.185,3.9572,4.9785,2.7811,.2592
1.19,3.9452,4.9675,2.8057,.2518
1.195,3.9328,4.9555,2.8657,.2447
1.2,3.9182,4.9464,2.834,.2424
1.205,3.8751,4.937,2.7675,.2332
1.21,3.868,4.9279,2.8229,.2335
1.215,3.8469,4.9192,2.9679,.2464
1.22,3.8274,4.9081,3.0036,.2555
1.225,3.8268,4.899,2.9364,.2553
1.23,3.8102,4.8867,2.8307,.2583
1.235,3.7937,4.8789,2.7853,.2591
1.24,3.77,4.866,2.8862,.2733
1.245,3.7337,4.8559,2.9822,.2811
1.25,3.7129,4.8462,2.9549,.2753
1.255,3.6863,4.8352,2.761,.2574
1.26,3.6665,4.8241,2.7036,.2466
1.265,3.6555,4.8124,2.7898,.251
1.27,3.6406,4.8147,2.891,.2542
1.275,3.6127,4.7943,2.9702,.2595
1.28,3.59,4.7842,2.8735,.2497
1.285,3.5576,4.7755,2.7328,.238
1.29,3.5284,4.7651,2.7402,.2382
1.295,3.518,4.7524,2.8995,.2429
1.3,3.4959,4.7411,2.9595,.2498
1.305,3.4758,4.7417,2.9381,.2498
1.31,3.4719,4.722,2.8421,.2532
1.315,3.456,4.7109,2.9066,.2633
1.32,3.4291,4.7012,2.9176,.2714
1.325,3.398,4.6902,2.8609,.2744
1.33,3.3795,4.6782,2.8126,.267
1.335,3.3542,4.6671,2.6809,.254
1.34,3.3364,4.6574,2.6948,.251
1.345,3.3247,4.647,2.8077,.2453
1.35,3.3185,4.6354,2.8203,.2388
1.355,3.2987,4.6292,2.7967,.2364
1.36,3.2871,4.6185,2.7535,.2283
1.365,3.2708,4.6088,2.7623,.233
1.37,3.2397,4.6023,2.8833,.2366
1.375,3.2248,4.5906,3.0448,.2506
1.38,3.2099,4.5805,2.9926,.2578
1.385,3.1872,4.5672,2.8764,.2631
1.39,3.1625,4.5595,2.8654,.2819
1.395,3.1453,4.5475,2.8797,.2923
1.4,3.1252,4.5348,2.8719,.3005
1.405,3.0811,4.5371,2.881,.3002
1.41,3.0535,4.5131,2.8369,.2989
1.415,3.0282,4.5008,2.7396,.2757
1.42,3.0065,4.4904,2.7003,.255
1.425,2.9815,4.48,2.7136,.2477
1.43,2.9767,4.4703,2.7178,.2328
1.435,2.9598,4.4631,2.6611,.222
1.44,2.941,4.4411,2.738,.2259
1.445,2.928,4.4427,2.7973,.2277
1.45,2.906,4.4349,2.8184,.2107
1.455,2.8842,4.4268,2.9679,.2301
1.46,2.8829,4.4177,3.0072,.2424
1.465,2.8563,4.4077,2.9238,.2571
1.47,2.8447,4.3986,2.8868,.2778
1.475,2.8168,4.3853,2.9047,.2944
1.48,2.8006,4.3723,2.9225,.3094
1.485,2.7756,4.3603,2.8936,.3139
1.49,2.7516,4.347,2.8687,.3214
1.495,2.7318,4.3347,2.6601,.2944
1.5,2.6445,4.3217,2.5476,.2715
1.505,2.6724,4.3168,2.6098,.2519
1.51,2.6572,4.301,2.7097,.2393
1.515,2.6647,4.2922,2.7558,.2349
1.52,2.6439,4.2828,2.6611,.2128
1.525,2.6215,4.274,2.6364,.195
1.53,2.5959,4.2656,2.6111,.1789
1.535,2.5875,4.2575,2.8651,.1854
1.54,2.5612,4.2624,2.9647,.2035
1.545,2.5424,4.2426,2.94,.2134
1.55,2.5242,4.2332,2.8865,.2225
1.555,2.496,4.2247,2.9702,.2487
1.56,2.4769,4.2131,3.0091,.2809
1.565,2.4584,4.202,2.9815,.2999
1.57,2.4292,4.1865,2.9549,.3209
1.575,2.4055,4.1832,2.6828,.3054
1.58,2.3834,4.1628,2.6056,.2898
1.585,2.3663,4.1524,2.7438,.284
1.59,2.3429,4.1411,2.8116,.2799
1.595,2.3244,4.131,2.6682,.2663
1.6,2.3082,4.1187,2.5411,.2272
1.605,2.2917,4.1119,2.5401,.2144
1.61,2.2735,4.1015,2.6225,.206
1.615,2.2647,4.0934,2.8696,.2076
1.62,2.2505,4.0862,2.8949,.2094
1.625,2.2265,4.0785,2.7993,.2068
1.63,2.2294,4.0694,2.7461,.1987
1.635,2.2135,4.0593,2.843,.2259
1.64,2.1937,4.0577,2.9014,.2484
1.645,2.1743,4.0428,2.8871,.2628
1.65,2.1613,4.0321,2.9549,.2793
1.655,2.1366,4.0214,2.916,.2935
1.66,2.1133,4.009,2.929,.3036
1.665,2.0883,3.9961,2.9572,.3097
1.67,2.0533,3.9834,2.9306,.3259
1.675,2.0238,3.9821,2.6822,.3136
1.68,1.9988,3.9562,2.5761,.3041
1.685,1.9696,3.9442,2.6737,.2963
1.69,1.9436,3.9322,2.7094,.2919
1.695,1.8454,3.9215,2.6137,.2613
1.7,1.8512,3.9111,2.5511,.2268
1.705,1.8178,3.9046,2.5245,.1993
1.71,1.8645,3.8939,2.5865,.1865
1.715,1.8687,3.8881,2.952,.2108
1.72,1.8525,3.8816,2.9381,.2162
1.725,1.8405,3.8718,2.774,.2209
1.73,1.8256,3.8628,2.7396,.2286
1.735,1.8055,3.853,2.8544,.234
1.74,1.7789,3.8443,3.0072,.277
1.745,1.7701,3.8342,3.0292,.2957
1.75,1.7442,3.8225,2.9442,.3028
1.755,1.7234,3.8105,2.663,.3028
1.76,1.7027,3.7976,2.6251,.3052
1.765,1.6787,3.7882,2.7045,.2984
1.77,1.6608,3.7732,2.7347,.2982
1.775,1.6433,3.7645,2.6105,.2657
1.78,1.6264,3.7525,2.5414,.2311
1.785,1.6105,3.7434,2.5625,.2184
1.79,1.5917,3.7337,2.6095,.205
1.795,1.5801,3.7262,2.856,.2246
1.8,1.5554,3.7175,2.8145,.2293
1.805,1.5314,3.7071,2.7454,.2267
1.81,1.5077,3.7045,2.7201,.2345
1.815,1.4828,3.6876,2.8203,.2456
1.82,1.4539,3.6785,2.8826,.2553
1.825,1.4344,3.6691,2.8839,.2738
1.83,1.4111,3.6575,2.8683,.2837
1.835,1.3923,3.6442,2.7029,.2803
1.84,1.377,3.6344,2.6663,.2871
1.845,1.3533,3.6208,2.7253,.2892
1.85,1.3488,3.6117,2.7169,.2793
1.855,1.3284,3.6004,2.7045,.2673
1.86,1.3037,3.5842,2.6575,.2574
1.865,1.3024,3.5806,2.7123,.2545
1.87,1.2645,3.5699,2.7282,.2583
1.875,1.2408,3.5628,2.7506,.2673
1.88,1.2311,3.5511,2.6984,.2613
1.885,1.2236,3.541,2.6929,.2513
1.89,1.1973,3.5306,2.7003,.2463
1.895,1.1951,3.5216,2.6851,.2362
1.9,1.172,3.5118,2.7042,.2335
1.905,1.1451,3.5021,2.69,.2356
1.91,1.1312,3.4966,2.7561,.2404
1.915,1.1166,3.483,2.8713,.2647
1.92,1.1036,3.4723,2.8781,.2751
1.925,1.0978,3.4606,2.8735,.2783
1.93,1.0624,3.4512,2.7866,.2903
1.935,1.053,3.4402,2.545,.2597
1.94,1.0096,3.4291,2.5865,.2574
1.945,.9833,3.4269,2.6293,.2623
1.95,.956,3.4103,2.6046,.244
1.955,.9551,3.3977,2.4863,.2314
1.96,.9427,3.3938,2.4678,.2032
1.965,.9122,3.3866,2.4331,.1572
1.97,.9119,3.3818,2.4058,.1143
1.975,.9054,3.3776,2.3325,.0627
1.98,.9187,3.3759,2.3484,.0266
1.985,.9148,3.3753,2.3731,.0029
1.99,.9116,3.375,2.5138,-.0066
1.995,.9239,3.3753,2.8187,.0157
2,.911,3.3753,2.8142,.0182
2.005,.9058,3.3753,2.726,.0049
2.01,.9032,3.3707,2.6851,-.0024
2.015,.7582,3.3743,2.5978,-.0173
2.02,.8977,3.375,2.6604,-.0129
2.025,.9019,3.3759,2.7474,.0041
2.03,.8996,3.3756,2.6763,.0086
2.035,.8957,3.3759,2.7873,.0191
2.04,.8951,3.374,2.7451,.0177
2.045,.8993,3.3707,2.7185,.0034
2.05,.9038,3.374,2.7756,-.0021
2.055,.8931,3.3753,2.7289,-.0063
2.06,.8986,3.3776,2.7363,-.0037
2.065,.9009,3.3756,2.7143,.0029
2.07,.9045,3.375,2.6621,.0068
2.075,.9009,3.3759,2.6812,.0083
2.08,.9139,3.3698,2.7094,.006
2.085,.9223,3.3753,2.7827,.0034
2.09,.9168,3.3753,2.7607,-.0016
2.095,.9145,3.375,2.7522,-.0043
2.1,.9207,3.375,2.7814,-.0026
2.105,.9051,3.3753,2.7169,.0062
2.11,.9058,3.3766,2.6838,.005
2.115,.8996,3.3756,2.676,.005
2.12,.9009,3.3753,2.6854,.0052
2.125,.8876,3.3753,2.7357,.0049
2.13,.8925,3.3805,2.7574,.0016
2.135,.8772,3.375,2.7801,.0015
2.14,.8857,3.3763,2.7516,-.0011
2.145,.8895,3.3707,2.6799,.0031
2.15,.8938,3.3756,2.6874,.0052
2.155,.8996,3.3756,2.6728,.0042
2.16,.9032,3.3756,2.689,.0046
2.165,.9045,3.3753,2.748,.0042
2.17,.9009,3.3756,2.725,.0042
2.175,.9015,3.3756,2.7425,.0003
2.18,.8996,3.3727,2.7357,.0013
2.185,.9051,3.3756,2.7201,.0025
2.19,.9015,3.375,2.711,.005
2.195,.9009,3.3763,2.6968,.0049
2.2,.9022,3.3756,2.725,.0046
2.205,.9064,3.3766,2.7185,.0037
2.21,.9097,3.374,2.7613,.0016
2.215,.9142,3.3779,2.7743,-.0001
2.22,.9168,3.3759,2.7503,.0002
2.225,.921,3.3753,2.7561,.0029
2.23,.9191,3.3759,2.6909,.0033
2.235,.9122,3.3763,2.7269,.0042
2.24,.9087,3.3795,2.7127,.0025
2.245,.9041,3.3759,2.7341,.0037
2.25,.8973,3.3688,2.7441,.0028
2.255,.8918,3.3759,2.7376,.0031
2.26,.8957,3.3759,2.737,-.0006
2.265,.8886,3.3746,2.712,
2.27,.8957,3.3759,2.7169,.0015
2.275,.8218,3.3759,2.6883,.0046
2.28,.8983,3.3785,2.7227,.0037
2.285,.8892,3.3759,2.7136,.0034
2.29,.9035,3.3759,2.7435,.0012
2.295,.7627,3.3759,2.7269,.0007
2.3,.874,3.3811,2.7483,.0007
2.305,.7501,3.3759,2.7156,.001
2.31,.8626,3.3766,2.724,.0073
2.315,.8951,3.3776,2.6994,.0033
2.32,.8993,3.3766,2.7162,.0036
2.325,.7666,3.3759,2.7049,.0034
2.33,.9061,3.3759,2.737,.0025
2.335,.908,3.375,2.7279,.001
2.34,.908,3.3759,2.7535,-.0001
2.345,.8996,3.3779,2.7101,-.0005
2.35,.9002,3.374,2.6922,-.0011
2.355,.8999,3.3769,2.7305,.0003
2.36,.9054,3.3769,2.7305,-.0009
2.365,.9074,3.3772,2.7331,.0012
2.37,.9168,3.375,2.7525,-.0011
2.375,.9139,3.3766,2.7869,-.0006
2.38,.9139,3.3785,2.7568,.0041
2.385,.9184,3.3649,2.7263,.0012
2.39,.9106,3.3776,2.7285,.0033
2.395,.9242,3.3779,2.6478,-.0008
2.4,.9255,3.3792,2.7162,.0008
2.405,.9161,3.3776,2.7247,.0026
2.41,.9197,3.3776,2.7308,.0055
2.415,.9087,3.3792,2.7383,.0028
2.42,.899,3.3776,2.7337,.0028
2.425,.8915,3.3772,2.7272,.002
2.43,.8892,3.3772,2.7065,.0026
2.435,.8967,3.375,2.7143,.0026
2.44,.8886,3.3776,2.6883,.0036
2.445,.9126,3.3785,2.6838,-.0011
2.45,.9119,3.3756,2.7,.0005
2.455,.898,3.3776,2.7172,-.0001
2.46,.896,3.3779,2.7175,-.0008
2.465,.8863,3.3789,2.7315,-.0003
2.47,.8805,3.3782,2.7344,-.0005
2.475,.9074,3.3779,2.7013,-.0024
2.48,.9155,3.3782,2.7036,.0008
2.485,.9113,3.3863,2.7347,-.0003
2.49,.923,3.3785,2.7234,-.0001
2.495,.9246,3.3792,2.7684,.0042
2.5,.9252,3.3818,2.7023,.0039
2.505,.9051,3.3831,2.7045,.0037
2.51,.9171,3.3837,2.7013,.0008
2.515,.9304,3.3837,2.7007,-.0003
2.52,.9187,3.3847,2.701,.0021
2.525,.9178,3.3847,2.7247,.0018
2.53,.8947,3.3847,2.7195,.0013
2.535,.896,3.3883,2.6874,-.0024
2.54,.9152,3.3798,2.7152,-.006
2.545,.9236,3.3857,2.5631,-.0254
2.55,.9223,3.3863,2.5764,-.0419
2.555,.92,3.4022,2.5482,-.0539
2.56,.932,3.3918,2.5313,-.0668
2.565,.9505,3.3954,2.4804,-.0942
2.57,.9544,3.4016,2.473,-.1243
2.575,.9703,3.409,2.448,-.1554
2.58,.9878,3.4119,2.4363,-.1881
2.585,1.004,3.4181,2.4769,-.2185
2.59,1.0076,3.4385,2.4438,-.2461
2.595,1.0397,3.4392,2.5005,-.2676
2.6,1.0663,3.4509,2.4791,-.2937
2.605,1.0825,3.4625,2.7467,-.2927
2.61,1.1124,3.4745,2.7882,-.2818
2.615,1.1266,3.4865,2.8009,-.2924
2.62,1.15,3.4959,2.7898,-.295
2.625,1.1503,3.5089,2.8262,-.2718
2.63,1.1685,3.5183,2.8356,-.2546
2.635,1.1896,3.529,2.8554,-.2354
2.64,1.2084,3.5371,2.9566,-.2061
2.645,1.2327,3.5469,2.8301,-.1922
2.65,1.2376,3.5514,2.7898,-.192
2.655,1.2548,3.5595,2.8012,-.1805
2.66,1.2599,3.5683,2.8177,-.1703
2.665,1.2674,3.5722,2.7415,-.1834
2.67,1.2671,3.5829,2.7136,-.1941
2.675,1.281,3.5926,2.6835,-.2015
2.68,1.2982,3.5978,2.7165,-.204
2.685,1.3167,3.6052,2.7337,-.2015
2.69,1.3436,3.6237,2.7091,-.2134
2.695,1.3585,3.6228,2.7354,-.216
2.7,1.3822,3.6322,2.7704,-.2163
2.705,1.3984,3.6403,2.7451,-.2219
2.71,1.4228,3.6503,2.7224,-.2197
2.715,1.4338,3.6581,2.7642,-.2095
2.72,1.4614,3.6698,2.7727,-.2032
2.725,1.4769,3.6763,2.7561,-.204
2.73,1.4863,3.6854,2.7444,-.2067
2.735,1.499,3.6941,2.759,-.2028
2.74,1.5252,3.7029,2.7937,-.2012
2.745,1.5385,3.7107,2.7574,-.2012
2.75,1.5609,3.7201,2.7334,-.1951
2.755,1.5771,3.7243,2.7548,-.1957
2.76,1.5998,3.7353,2.7898,-.1899
2.765,1.6138,3.7428,2.7834,-.1858
2.77,1.6238,3.7512,2.7513,-.1875
2.775,1.642,3.7583,2.7548,-.1902
2.78,1.6495,3.7671,2.7782,-.1863
2.785,1.6576,3.7736,2.7772,-.1868
2.79,1.6667,3.7817,2.7665,-.1839
2.795,1.6793,3.7891,2.7649,-.1826
2.8,1.6874,3.7969,2.7487,-.187
2.805,1.6952,3.8041,2.7652,-.1866
2.81,1.7091,3.8115,2.7885,-.1899
2.815,1.7293,3.8196,2.7873,-.1947
2.82,1.7461,3.8287,2.7701,-.1904
2.825,1.763,3.8316,2.7746,-.19
2.83,1.7792,3.842,2.8038,-.1886
2.835,1.798,3.8495,2.7976,-.1868
2.84,1.8126,3.8576,2.8242,-.1871
2.845,1.8314,3.8663,2.786,-.1886
2.85,1.8431,3.8728,2.8109,-.1832
2.855,1.8548,3.8767,2.772,-.1828
2.86,1.8772,3.9004,2.7529,-.1813
2.865,1.8849,3.8936,2.7743,-.1781
2.87,1.9025,3.9017,2.7902,-.1755
2.875,1.9187,3.9082,2.8041,-.1724
2.88,1.9381,3.9153,2.7652,-.1711
2.885,1.9537,3.9224,2.7561,-.1742
2.89,1.9693,3.9322,2.7571,-.1711
2.895,1.991,3.9273,2.7928,-.1705
2.9,1.9998,3.9439,2.7993,-.1677
2.905,2.0156,3.951,2.8061,-.1637
2.91,2.028,3.9584,2.8155,-.1606
2.915,2.0328,3.9679,2.7934,-.1604
2.92,2.0387,3.9734,2.7778,-.1528
2.925,2.0484,3.9779,2.7905,-.1544
2.93,2.0565,3.9834,2.8323,-.1514
2.935,2.0578,3.9909,2.8255,-.1441
2.94,2.0714,3.997,2.8031,-.1421
2.945,2.0789,4.0022,2.8044,-.14
2.95,2.0954,4.0097,2.8171,-.1373
2.955,2.1016,4.0133,2.8207,-.14
2.96,2.1107,4.0214,2.8417,-.1313
2.965,2.1246,4.0249,2.8064,-.1292
2.97,2.1337,4.0301,2.7873,-.1306
2.975,2.149,4.0356,2.7791,-.1314
2.98,2.1642,4.0412,2.7924,-.129
2.985,2.1645,4.0489,2.795,-.131
2.99,2.1875,4.0522,2.7869,-.1319
2.995,2.1957,4.0554,2.7967,-.1316
3,2.208,4.0616,2.7675,-.1342
3.005,2.2223,4.0674,2.7788,-.1337
3.01,2.2313,4.0726,2.8074,-.1314
3.015,2.2381,4.0791,2.7697,-.1352
3.02,2.2505,4.0853,2.7649,-.1319
3.025,2.2664,4.0885,2.7782,-.1337
3.03,2.2855,4.0947,2.8031,-.1293
3.035,2.2965,4.1002,2.8398,-.1211
3.04,2.3033,4.1054,2.8057,-.1206
3.045,2.3089,4.1076,2.8009,-.1169
3.05,2.3215,4.1148,2.7743,-.1135
3.055,2.3205,4.1196,2.7652,-.1177
3.06,2.329,4.1258,2.8009,-.1097
3.065,2.3283,4.1248,2.8035,-.1049
3.07,2.3358,4.1342,2.819,-.1012
3.075,2.3439,4.1388,2.7973,-.1
3.08,2.3526,4.1401,2.8116,-.1004
3.085,2.3556,4.1475,2.8236,-.102
3.09,2.365,4.1514,2.8057,-.0984
3.095,2.3786,4.156,2.8018,-.1005
3.1,2.3815,4.1498,2.8096,-.0997
3.105,2.3906,4.1641,2.7824,-.1004
3.11,2.4045,4.168,2.8028,-.0999
3.115,2.4175,4.1732,2.8028,-.0994
3.12,2.4075,4.1751,2.7834,-.1018
3.125,2.4318,4.1816,2.7915,-.1062
3.13,2.4405,4.1852,2.7817,-.1086
