Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0.61,3.568315,3.298252,0.332118374,0.036090883
0.615,3.564096,3.297603,0.331793783,0.037064657
0.62,3.562148,3.296629,0.331469191,0.036415475
0.625,3.560525,3.295331,0.332767558,0.035117109
0.63,3.567342,3.295655,0.331144599,0.033494152
0.635,3.561174,3.297278,0.332442966,0.033494152
0.64,3.568965,3.298577,0.331469191,0.034467926
0.645,3.561174,3.299226,0.331469191,0.035766292
0.65,3.564096,3.296629,0.332767558,0.036740066
0.655,3.567991,3.296954,0.330820008,0.036090883
0.66,3.559227,3.295655,0.332767558,0.035117109
0.665,3.558902,3.297603,0.331793783,0.034143335
0.67,3.572535,3.297927,0.331469191,0.034467926
0.675,3.561174,3.296954,0.332767558,0.035766292
0.68,3.566043,3.297927,0.330495416,0.035766292
0.685,3.56442,3.297278,0.332442966,0.035117109
0.69,3.56442,3.296954,0.331469191,0.034792517
0.695,3.567017,3.297278,0.330820008,0.034467926
0.7,3.567017,3.297603,0.332118374,0.035117109
0.705,3.568965,3.297927,0.330495416,0.0354417
0.71,3.558578,3.297603,0.331793783,0.036090883
0.715,3.571886,3.297278,0.331144599,0.0354417
0.72,3.570588,3.297278,0.330820008,0.034792517
0.725,3.567017,3.297927,0.332118374,0.034467926
0.73,3.568315,3.297603,0.330495416,0.034467926
0.735,3.576106,3.296629,0.332118374,0.035117109
0.74,3.572535,3.296304,0.330820008,0.036090883
0.745,3.563771,3.296954,0.330820008,0.035766292
0.75,3.557928,3.296629,0.331793783,0.036090883
0.755,3.562797,3.296304,0.329846232,0.035117109
0.76,3.555007,3.297278,0.331793783,0.034143335
0.765,3.562148,3.297603,0.330820008,0.034143335
0.77,3.559227,3.297603,0.330495416,0.034792517
0.775,3.570263,3.298252,0.331793783,0.036090883
0.78,3.563122,3.298252,0.330170824,0.036090883
0.785,3.56085,3.297278,0.331144599,0.0354417
0.79,3.567017,3.296954,0.330495416,0.034792517
0.795,3.561174,3.296954,0.330170824,0.034792517
0.8,3.568315,3.296629,0.331469191,0.034792517
0.805,3.561174,3.296629,0.329521641,0.035766292
0.81,3.567666,3.296954,0.331144599,0.0354417
0.815,3.558902,3.296304,0.330820008,0.035117109
0.82,3.553384,3.297278,0.329846232,0.034792517
0.825,3.575457,3.297278,0.331469191,0.034467926
0.83,3.564096,3.297278,0.329521641,0.035117109
0.835,3.568315,3.297927,0.331144599,0.0354417
0.84,3.567666,3.296954,0.330495416,0.035766292
0.845,3.555981,3.297278,0.329521641,0.0354417
0.85,3.558253,3.296629,0.331469191,0.0354417
0.855,3.56442,3.296954,0.329197049,0.034792517
0.86,3.557604,3.297927,0.330170824,0.035117109
0.865,3.567991,3.296954,0.330170824,0.034792517
0.87,3.567342,3.296629,0.329197049,0.035117109
0.875,3.56085,3.29598,0.331144599,0.034792517
0.88,3.563771,3.296954,0.328872457,0.034467926
0.885,3.55663,3.297927,0.330495416,0.034792517
0.89,3.561824,3.297278,0.330170824,0.034792517
0.895,3.559551,3.297603,0.329521641,0.035117109
0.9,3.56442,3.296304,0.331144599,0.036090883
0.905,3.555656,3.296954,0.328547866,0.035766292
0.91,3.554682,3.296629,0.330820008,0.035117109
0.915,3.56864,3.295655,0.329846232,0.034143335
0.92,3.573834,3.297603,0.329197049,0.034143335
0.925,3.560201,3.296629,0.330820008,0.0354417
0.93,3.565719,3.297927,0.328872457,0.035117109
0.935,3.573834,3.296954,0.330170824,0.034792517
0.94,3.570263,3.296954,0.329846232,0.035117109
0.945,3.567017,3.296954,0.329197049,0.035766292
0.95,3.563771,3.296954,0.330820008,0.034792517
0.955,3.56442,3.296629,0.328872457,0.034467926
0.96,3.565719,3.297278,0.329846232,0.034467926
0.965,3.558578,3.296954,0.329521641,0.035766292
0.97,3.564096,3.296629,0.329521641,0.035766292
0.975,3.562797,3.296629,0.330495416,0.035117109
0.98,3.557279,3.29598,0.328547866,0.034467926
0.985,3.562473,3.297927,0.329846232,0.034792517
0.99,3.559876,3.296629,0.329521641,0.034792517
0.995,3.58065,3.297927,0.328872457,0.035117109
1,3.570912,3.297278,0.330820008,0.035766292
