Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0.002,3.598827,2.986641,0.458709149,0.135740463
0.004,3.577729,2.974955,0.4606567,0.27012137
0.006,3.578703,2.963595,0.462928842,0.401256407
0.008,3.560525,2.951585,0.463253434,0.527522615
0.01,3.544295,2.938276,0.463253434,0.648270804
0.012,3.542023,2.925292,0.464876393,0.75863209
0.014,3.527416,2.913607,0.466823944,0.858606463
0.016,3.527416,2.901597,0.466823944,0.947220137
0.018,3.507292,2.890561,0.467148536,1.022526
0.02,3.50859,2.881148,0.468446903,1.082251
0.022,3.505344,2.872383,0.470069862,1.127044
0.024,3.493009,2.864269,0.470069862,1.155284
0.026,3.484245,2.857777,0.469420678,1.167294
0.028,3.487816,2.853882,0.469420678,1.161776
0.03,3.494957,2.850311,0.471043637,1.140677
0.032,3.486842,2.849013,0.471043637,1.101726
0.034,3.497229,2.851285,0.469420678,1.047195
0.036,3.493983,2.853232,0.468446903,0.978380996
0.038,3.509239,2.856478,0.46974527,0.894960788
0.04,3.514108,2.861672,0.46974527,0.798232325
0.042,3.518328,2.869462,0.467797719,0.692090722
0.044,3.526118,2.875954,0.466499352,0.575562212
0.046,3.530987,2.885692,0.466823944,0.451243538
0.048,3.541049,2.894456,0.466823944,0.321731441
0.05,3.542672,2.904843,0.464551801,0.188973473
0.052,3.550787,2.915879,0.462928842,0.05361882
0.054,3.554358,2.92724,0.462604251,-0.080437421
0.056,3.556955,2.939899,0.462279659,-0.210923115
0.058,3.559876,2.952558,0.4606567,-0.336215312
0.06,3.583247,2.964893,0.459033741,-0.455989425
0.062,3.585519,2.976254,0.458384557,-0.566025778
0.064,3.595906,2.988913,0.458384557,-0.665350605
0.066,3.599801,3.000598,0.457735374,-0.753639324
0.068,3.623497,3.011635,0.455787823,-0.827970624
0.07,3.629989,3.021372,0.45513864,-0.888019919
0.072,3.628366,3.028514,0.455787823,-0.932164261
0.074,3.634208,3.034681,0.455787823,-0.960079064
0.076,3.631612,3.040524,0.453515681,-0.972088921
0.078,3.629339,3.045068,0.452866497,-0.966895469
0.08,3.635507,3.047989,0.454814048,-0.9448233
0.082,3.623821,3.048314,0.454814048,-0.907170774
0.084,3.619602,3.048314,0.453840272,-0.852964115
0.086,3.625444,3.045717,0.453840272,-0.783177091
0.088,3.617979,3.042147,0.45513864,-0.701055604
0.09,3.610513,3.037602,0.456112415,-0.605301284
0.092,3.608565,3.03111,0.455787823,-0.499484623
0.094,3.611487,3.024618,0.455463231,-0.383930206
0.096,3.605644,3.016828,0.45708619,-0.259611797
0.098,3.590388,3.005792,0.459033741,-0.130749074
0.1,3.590063,2.997028,0.459033741,0.001684194
0.102,3.586817,2.985992,0.459033741,0.135740463
0.104,3.578703,2.974631,0.460981292,0.269472186
0.106,3.574807,2.96327,0.462928842,0.401256407
0.108,3.557928,2.950611,0.463578026,0.527522615
0.11,3.557279,2.938925,0.463253434,0.64762162
0.112,3.542023,2.925942,0.464876393,0.758307498
0.114,3.531961,2.912958,0.466823944,0.858606463
0.116,3.519951,2.902246,0.467473128,0.947869322
0.118,3.518328,2.89121,0.466499352,1.022201
0.12,3.506967,2.880823,0.468122311,1.081926
0.122,3.502098,2.871734,0.46974527,1.127044
0.124,3.492685,2.865242,0.46974527,1.155608
0.126,3.497554,2.858426,0.469420678,1.166969
0.128,3.497229,2.853882,0.469096087,1.1621
0.13,3.48814,2.851285,0.470719046,1.140028
0.132,3.494632,2.849986,0.470719046,1.101401
0.134,3.49658,2.85096,0.46974527,1.047519
0.136,3.503721,2.852908,0.469096087,0.978380996
0.138,3.511187,2.856803,0.46974527,0.894636196
0.14,3.510537,2.861996,0.46974527,0.798556917
0.142,3.511511,2.868164,0.467797719,0.69176613
0.144,3.525144,2.875954,0.46617476,0.575562212
0.146,3.531961,2.885692,0.466499352,0.451243538
0.148,3.535207,2.895105,0.466499352,0.322056032
0.15,3.541049,2.905492,0.46422721,0.188973473
0.152,3.547866,2.916204,0.462279659,0.053943412
0.154,3.554682,2.926915,0.462604251,-0.08011283
0.156,3.567017,2.938925,0.462604251,-0.210598524
0.158,3.578378,2.952558,0.4606567,-0.336539903
0.16,3.573184,2.964893,0.458709149,-0.455664834
0.162,3.576755,2.977877,0.458384557,-0.566025778
0.164,3.599477,2.990211,0.458709149,-0.665350605
0.166,3.614408,3.000598,0.45708619,-0.753639324
0.168,3.622848,3.010661,0.455463231,-0.827970624
0.17,3.612785,3.020399,0.454814048,-0.887370737
0.172,3.633559,3.029163,0.455463231,-0.931839671
0.174,3.641025,3.035979,0.45513864,-0.960728246
0.176,3.639402,3.041173,0.453515681,-0.97176433
0.178,3.62869,3.045392,0.452866497,-0.966570879
0.18,3.634533,3.047989,0.454164864,-0.9448233
0.182,3.636156,3.048963,0.45513864,-0.906846183
