Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0.02,3.563447,3.134981,0.39054488,-0.654963696
0.04,3.565394,3.12784,0.391518655,-0.554340502
0.06,3.557928,3.118426,0.393466206,-0.443005783
0.08,3.57286,3.108364,0.392492431,-0.323880848
0.1,3.560525,3.097652,0.395413756,-0.197614875
0.12,3.565394,3.085967,0.395738348,-0.067129176
0.14,3.560525,3.073957,0.397036715,0.066602478
0.16,3.563771,3.061622,0.399633449,0.201307952
0.18,3.571561,3.048638,0.398659673,0.334390516
0.2,3.563122,3.036304,0.401580999,0.463578026
0.22,3.570912,3.024618,0.401905591,0.58724752
0.24,3.565394,3.010985,0.402554774,0.702477667
0.26,3.567342,3.001248,0.4054761,0.807970088
0.28,3.562473,2.989562,0.404502325,0.903400185
0.3,3.567666,2.981447,0.407099059,0.985197434
0.32,3.561174,2.972359,0.407099059,1.052713
0.34,3.55663,2.965867,0.40742365,1.105946
0.36,3.563122,2.960673,0.409695793,1.1423
0.38,3.560525,2.956778,0.408072834,1.163074
0.4,3.566368,2.954831,0.410020384,1.16632
0.42,3.564745,2.954506,0.409695793,1.152687
0.44,3.567017,2.954831,0.409371201,1.123149
0.46,3.564745,2.958076,0.410344976,1.076408
0.48,3.561174,2.962945,0.408397426,1.015385
0.5,3.553384,2.968463,0.410020384,0.938780739
0.52,3.56864,2.974955,0.408397426,0.84919329
0.54,3.564096,2.984044,0.40742365,0.74759596
0.56,3.567666,2.993782,0.408397426,0.636260902
0.58,3.566693,3.004494,0.406125283,0.5161619
0.6,3.56507,3.014556,0.407099059,0.389571105
0.62,3.56507,3.026241,0.404826916,0.257462297
0.64,3.559551,3.039225,0.40352855,0.123730577
0.66,3.567017,3.051884,0.404502325,-0.010650279
0.68,3.557928,3.064544,0.401905591,-0.143083543
0.7,3.561824,3.077203,0.402879366,-0.27129708
0.72,3.570263,3.089537,0.400282632,-0.393667939
0.74,3.557928,3.100898,0.39995804,-0.508897763
0.76,3.562797,3.112259,0.400282632,-0.614065239
0.78,3.56507,3.123295,0.397361307,-0.707872012
0.8,3.564096,3.131735,0.398984265,-0.789993498
0.82,3.562797,3.138227,0.397036715,-0.857183795
0.84,3.56085,3.145368,0.397361307,-0.910092091
0.86,3.568965,3.150561,0.398335082,-0.947095435
0.88,3.556955,3.153483,0.39606294,-0.96722006
0.9,3.563122,3.155755,0.397685898,-0.970141377
0.92,3.562797,3.15543,0.397036715,-0.957157748
0.94,3.550787,3.154132,0.397361307,-0.9272954
0.96,3.57286,3.152184,0.398984265,-0.881203513
0.98,3.574807,3.14764,0.397361307,-0.820505035
1,3.562797,3.142122,0.399633449,-0.74422619
1.02,3.571561,3.13563,0.39995804,-0.655612878
1.04,3.567342,3.128489,0.400282632,-0.554665093
1.06,3.568315,3.118102,0.402230183,-0.443654965
1.08,3.568965,3.109013,0.401580999,-0.323556257
1.1,3.571237,3.098301,0.404177733,-0.197939466
1.12,3.574807,3.086291,0.404502325,-0.067129176
1.14,3.559876,3.073308,0.405151508,0.06692707
1.16,3.554682,3.061622,0.407748242,0.201307952
1.18,3.567342,3.049612,0.406774467,0.334065924
1.2,3.559876,3.036628,0.410020384,0.463578026
1.22,3.568315,3.024294,0.410344976,0.586598337
1.24,3.558902,3.010661,0.411318751,0.702477667
1.26,3.563447,3.000923,0.413266302,0.808294681
1.28,3.565719,2.989238,0.412617118,0.903075593
1.3,3.560525,2.980149,0.415213852,0.984548249
1.32,3.555007,2.972359,0.415538444,1.052388
1.34,3.569614,2.965542,0.416187628,1.105297
1.36,3.555656,2.960349,0.417485995,1.141976
1.38,3.568965,2.957427,0.416512219,1.162425
1.4,3.559876,2.955155,0.41845977,1.165671
1.42,3.564745,2.953208,0.417485995,1.152363
1.44,3.573509,2.956129,0.417485995,1.123149
1.46,3.561824,2.95905,0.418135178,1.076732
1.48,3.555981,2.961972,0.415863036,1.015709
1.5,3.565719,2.968788,0.417485995,0.939105331
1.52,3.571237,2.97528,0.416187628,0.849517882
