Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0.635,3.562797,2.621147,0.39995804,2.032009
0.64,3.560201,2.621472,0.397685898,2.032009
0.645,3.569614,2.621147,0.399633449,2.031685
0.65,3.567991,2.621797,0.399308857,2.032009
0.655,3.568315,2.621797,0.398335082,2.03136
0.66,3.56085,2.621797,0.400282632,2.032009
0.665,3.559551,2.620823,0.397685898,2.032009
0.67,3.560525,2.621147,0.399633449,2.032009
0.675,3.567991,2.621797,0.398984265,2.031685
0.68,3.567017,2.621147,0.398335082,2.03136
0.685,3.56085,2.621472,0.400282632,2.032009
0.69,3.56085,2.621147,0.39801049,2.032009
0.695,3.566043,2.621797,0.399633449,2.032009
0.7,3.557928,2.621472,0.399308857,2.032009
0.705,3.557928,2.621147,0.398335082,2.031685
0.71,3.559227,2.622446,0.39995804,2.032009
0.715,3.563771,2.620823,0.397685898,2.032009
0.72,3.567666,2.621472,0.399308857,2.031685
0.725,3.563771,2.620498,0.398984265,2.032009
0.73,3.57286,2.621147,0.398659673,2.032009
0.735,3.556955,2.620498,0.39995804,2.031685
0.74,3.566368,2.620823,0.398335082,2.031685
0.745,3.566368,2.620823,0.399633449,2.032009
0.75,3.563122,2.620174,0.399633449,2.031685
0.755,3.555981,2.620823,0.398335082,2.03136
0.76,3.563771,2.621472,0.400282632,2.03136
0.765,3.560201,2.621472,0.39801049,2.032009
0.77,3.562148,2.620823,0.398984265,2.032009
0.775,3.561174,2.621472,0.399308857,2.031685
0.78,3.567017,2.622121,0.398659673,2.032009
0.785,3.567991,2.620823,0.39995804,2.031685
0.79,3.554358,2.621472,0.39801049,2.031685
0.795,3.56864,2.620823,0.399633449,2.032009
0.8,3.559227,2.621147,0.399633449,2.031685
0.805,3.567666,2.620498,0.398335082,2.032009
0.81,3.559227,2.621797,0.39995804,2.03136
0.815,3.563771,2.621472,0.39801049,2.032009
0.82,3.56085,2.621147,0.399308857,2.031685
0.825,3.569289,2.620174,0.398659673,2.031685
0.83,3.553709,2.621147,0.398335082,2.031685
0.835,3.567017,2.621147,0.400931816,2.031685
0.84,3.559551,2.621147,0.398659673,2.031685
0.845,3.560201,2.622446,0.398984265,2.032009
0.85,3.56085,2.621147,0.398984265,2.031685
0.855,3.569938,2.620823,0.398335082,2.031685
0.86,3.567666,2.621472,0.400282632,2.031685
0.865,3.570588,2.620823,0.39801049,2.031685
0.87,3.564745,2.622121,0.399308857,2.031685
0.875,3.573509,2.622446,0.398984265,2.031685
0.88,3.570263,2.621147,0.398335082,2.032009
0.885,3.557604,2.621147,0.400282632,2.032009
0.89,3.56085,2.621147,0.39801049,2.031685
0.895,3.558902,2.621472,0.399308857,2.032009
0.9,3.557928,2.621472,0.398984265,2.032009
0.905,3.571237,2.620823,0.398659673,2.031685
0.91,3.567017,2.620823,0.400282632,2.031685
0.915,3.577729,2.621147,0.398335082,2.031685
0.92,3.566368,2.621147,0.399633449,2.031685
0.925,3.555656,2.622121,0.399308857,2.032009
0.93,3.56085,2.621472,0.398335082,2.032009
0.935,3.557604,2.621797,0.39995804,2.031685
0.94,3.56442,2.622121,0.398335082,2.031685
0.945,3.554358,2.621472,0.39995804,2.032009
0.95,3.566368,2.621147,0.399308857,2.03136
0.955,3.563122,2.621472,0.398335082,2.032009
0.96,3.57286,2.620823,0.400282632,2.031685
0.965,3.564745,2.621472,0.398659673,2.032009
0.97,3.567991,2.621797,0.399308857,2.031685
0.975,3.566043,2.621472,0.399308857,2.032334
0.98,3.55663,2.622121,0.398659673,2.031685
0.985,3.551112,2.621472,0.400282632,2.031685
0.99,3.561499,2.620823,0.39801049,2.031685
0.995,3.557928,2.621147,0.39995804,2.032009
1,3.558902,2.621472,0.399633449,2.031685
