Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0.005,3.569938,1.924244,0.492142105,6.611751
0.01,3.559876,1.924569,0.492466697,6.612076
0.015,3.569938,1.925218,0.491168329,6.612076
0.02,3.563122,1.924569,0.49311588,6.611751
0.025,3.562148,1.924894,0.491492921,6.611751
0.03,3.562797,1.924569,0.492466697,6.611751
0.035,3.567991,1.924244,0.492142105,6.611751
0.04,3.565719,1.925218,0.491168329,6.612076
0.045,3.560525,1.924569,0.492791289,6.6124
0.05,3.553059,1.924569,0.491168329,6.611751
0.055,3.566368,1.924569,0.491817513,6.611751
0.06,3.56507,1.924569,0.492466697,6.611751
0.065,3.571561,1.924244,0.491168329,6.611426
0.07,3.574483,1.925218,0.49311588,6.611102
0.075,3.564096,1.924894,0.490843738,6.611426
0.08,3.564745,1.924244,0.492142105,6.611426
0.085,3.563771,1.924569,0.492466697,6.611751
0.09,3.559227,1.924569,0.491492921,6.611751
0.095,3.570263,1.92392,0.493765064,6.611426
0.1,3.554358,1.923595,0.491168329,6.612076
0.105,3.571237,1.924894,0.492142105,6.611751
0.11,3.567342,1.924569,0.492142105,6.611426
0.115,3.569938,1.924894,0.491168329,6.611426
0.12,3.567991,1.924569,0.49311588,6.611426
0.125,3.554358,1.924569,0.491168329,6.611751
0.13,3.562797,1.924244,0.492142105,6.612076
0.135,3.562797,1.925218,0.491817513,6.612076
0.14,3.56507,1.924569,0.491168329,6.611751
0.145,3.569614,1.92392,0.49311588,6.611426
0.15,3.567991,1.924569,0.491168329,6.611751
0.155,3.574807,1.924569,0.492142105,6.612076
0.16,3.570588,1.924569,0.492466697,6.611751
0.165,3.568965,1.924244,0.491168329,6.611751
0.17,3.565719,1.925543,0.49311588,6.611751
0.175,3.556305,1.924244,0.491168329,6.611751
0.18,3.56507,1.924244,0.492142105,6.611751
0.185,3.54884,1.924894,0.492142105,6.611751
0.19,3.563771,1.92392,0.491492921,6.611751
0.195,3.556955,1.924569,0.49311588,6.611426
0.2,3.562473,1.924244,0.490843738,6.611751
0.205,3.567017,1.92392,0.492142105,6.611751
0.21,3.572535,1.924244,0.492466697,6.611751
0.215,3.56442,1.924894,0.491492921,6.611751
0.22,3.56864,1.92392,0.492791289,6.611751
0.225,3.567666,1.924569,0.491168329,6.611751
0.23,3.565719,1.924569,0.492142105,6.611426
0.235,3.567666,1.92392,0.492142105,6.612076
0.24,3.57286,1.924894,0.491168329,6.611426
0.245,3.553709,1.92392,0.49311588,6.611102
0.25,3.563771,1.925543,0.491168329,6.611751
0.255,3.561499,1.924244,0.492466697,6.611426
0.26,3.556305,1.924569,0.492142105,6.611426
0.265,3.556955,1.925867,0.491168329,6.611426
0.27,3.559551,1.925218,0.492791289,6.611426
0.275,3.566043,1.924894,0.490843738,6.611102
0.28,3.563447,1.924569,0.491817513,6.611426
0.285,3.57286,1.924244,0.492466697,6.611751
0.29,3.564096,1.924894,0.491492921,6.611426
0.295,3.572211,1.924894,0.492791289,6.611426
0.3,3.559551,1.924894,0.490843738,6.611426
0.305,3.554033,1.924244,0.492466697,6.611751
0.31,3.562148,1.924244,0.492466697,6.611751
0.315,3.560201,1.924894,0.491492921,6.611751
0.32,3.560525,1.925218,0.49311588,6.611751
0.325,3.552735,1.924244,0.491492921,6.611426
0.33,3.563122,1.924244,0.492466697,6.611751
0.335,3.562473,1.924569,0.492466697,6.611751
0.34,3.566043,1.92392,0.491492921,6.612076
0.345,3.567342,1.925218,0.492791289,6.611751
0.35,3.56442,1.925218,0.490843738,6.611751
0.355,3.561824,1.924894,0.492791289,6.611751
0.36,3.567991,1.924894,0.492466697,6.611426
0.365,3.564096,1.924244,0.491168329,6.611426
0.37,3.569938,1.924244,0.493440472,6.611426
0.375,3.563122,1.925218,0.491492921,6.611426
0.38,3.561174,1.925218,0.492142105,6.611102
0.385,3.567017,1.924894,0.492466697,6.611102
0.39,3.557604,1.92392,0.491168329,6.611426
0.395,3.561174,1.924569,0.493440472,6.611102
0.4,3.555332,1.924894,0.491492921,6.611426
0.405,3.552086,1.92392,0.491817513,6.611426
0.41,3.55241,1.924894,0.492466697,6.611751
0.415,3.562148,1.925543,0.491168329,6.611426
