Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0.204,2.869787,2.871085,0.366200502,-0.80232795
0.206,3.566043,2.910686,0.361980809,-0.311221793
0.208,4.102601,2.960998,0.358085709,0.324328174
0.21,4.571968,3.010012,0.357111934,0.880354139
0.212,4.645976,3.038576,0.356787342,1.158205
0.214,4.369744,3.036953,0.357436526,1.061152
0.216,3.793585,3.005467,0.360357851,0.623277224
0.218,3.155106,2.954181,0.365551318,-0.001237129
0.22,2.651984,2.902246,0.369121827,-0.589071736
0.222,2.454955,2.868488,0.368472644,-0.935734759
0.224,2.663994,2.86297,0.366200502,-0.919829813
0.226,3.207365,2.890236,0.364252951,-0.544927364
0.228,3.837081,2.938276,0.361656218,0.05589096
0.23,4.372665,2.991185,0.357436526,0.672615202
0.232,4.63494,3.030461,0.355164384,1.085496
0.234,4.514514,3.041497,0.356787342,1.148143
0.236,4.049042,3.019425,0.360682443,0.839780118
0.238,3.41186,2.975605,0.363603768,0.267524637
0.24,2.830186,2.92302,0.36587591,-0.363156375
0.242,2.494231,2.8792,0.367498868,-0.831541122
0.244,2.535779,2.861996,0.368797235,-0.972738102
0.246,2.959699,2.875954,0.365551318,-0.738708145
0.248,3.530987,2.917178,0.361331626,-0.210273933
0.25,4.224,2.972034,0.358734892,0.428846706
0.252,4.601831,3.018127,0.357436526,0.950141468
0.254,4.608648,3.041173,0.357436526,1.168592
0.256,4.285349,3.033707,0.357761117,1.009542
0.258,3.677704,2.996379,0.361331626,0.526873431
0.26,3.059999,2.944443,0.36587591,-0.107703092
0.262,2.591934,2.893807,0.368797235,-0.668271924
0.264,2.468913,2.863944,0.368472644,-0.960403655
0.266,2.738326,2.865242,0.36587591,-0.87990515
0.268,3.32779,2.898026,0.364252951,-0.455989425
0.27,3.997107,2.949312,0.361007034,0.164304516
0.272,4.488222,3.000598,0.357111934,0.76025505
0.274,4.63916,3.034032,0.355164384,1.122175
0.276,4.482055,3.040848,0.358085709,1.121526
0.278,3.949716,3.015205,0.361656218,0.758307498
0.28,3.310911,2.967165,0.364252951,0.160409418
0.282,2.746116,2.913282,0.366525093,-0.458586153
0.284,2.49488,2.87498,0.368148052,-0.880554331
0.286,2.58674,2.861023,0.369121827,-0.959754474
0.288,3.063245,2.881797,0.365551318,-0.667298151
0.29,3.691986,2.925617,0.361007034,-0.105755544
0.292,4.331766,2.980798,0.357436526,0.529470166
0.294,4.619359,3.024294,0.357436526,1.01084
0.296,4.593716,3.042796,0.357111934,1.169241
0.298,4.193812,3.029812,0.358085709,0.948193914
0.3,3.569614,2.988913,0.362305401,0.425276197
0.302,2.949962,2.936004,0.366525093,-0.211896889
0.304,2.548114,2.887964,0.368797235,-0.739357327
0.306,2.49488,2.86297,0.368148052,-0.973387284
