Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0.005,3.572535,1.538628,0.592765583,9.56923
0.01,3.575457,1.538628,0.594388542,9.56923
0.015,3.561174,1.537654,0.592440991,9.56923
0.02,3.558253,1.537979,0.593739359,9.569555
0.025,3.563122,1.538303,0.593414767,9.569555
0.03,3.563771,1.538303,0.593090175,9.569879
0.035,3.570912,1.538303,0.594063951,9.569879
0.04,3.56507,1.538628,0.592116399,9.569555
0.045,3.563771,1.538628,0.593414767,9.569555
0.05,3.566043,1.538303,0.592765583,9.569555
0.055,3.582598,1.537329,0.592765583,9.569555
0.06,3.567991,1.538952,0.594063951,9.569555
0.065,3.55663,1.538628,0.591791807,9.569555
0.07,3.569614,1.538303,0.594388542,9.569555
0.075,3.572211,1.538628,0.593090175,9.569555
0.08,3.55663,1.537979,0.593090175,9.569879
0.085,3.567342,1.538303,0.594388542,9.56923
0.09,3.562148,1.538303,0.592440991,9.569879
0.095,3.570263,1.537979,0.594063951,9.56923
0.1,3.562473,1.537979,0.592765583,9.569879
0.105,3.563447,1.537005,0.592440991,9.569555
0.11,3.571237,1.538303,0.594063951,9.56923
0.115,3.570263,1.538628,0.592116399,9.569555
0.12,3.564745,1.538303,0.593414767,9.569879
0.125,3.563122,1.538628,0.593414767,9.569555
0.13,3.571561,1.538952,0.592440991,9.569879
0.135,3.56085,1.538628,0.594388542,9.569555
0.14,3.563122,1.538303,0.592440991,9.569879
0.145,3.561174,1.538952,0.594063951,9.569555
0.15,3.557928,1.537979,0.593090175,9.569555
0.155,3.563122,1.538303,0.592765583,9.56923
0.16,3.564096,1.538952,0.593739359,9.569555
0.165,3.56085,1.538303,0.592765583,9.569555
0.17,3.555332,1.538952,0.593739359,9.569555
0.175,3.56442,1.537979,0.593739359,9.569555
0.18,3.56864,1.538952,0.592765583,9.56923
0.185,3.567342,1.538303,0.594388542,9.569879
0.19,3.570263,1.538628,0.592440991,9.56923
0.195,3.567342,1.537979,0.594063951,9.56923
0.2,3.568965,1.537979,0.593090175,9.568906
0.205,3.567666,1.538628,0.593090175,9.569555
0.21,3.571886,1.537979,0.594388542,9.569555
0.215,3.564096,1.537654,0.591791807,9.569555
0.22,3.55663,1.538628,0.594063951,9.569879
0.225,3.562473,1.538303,0.593414767,9.569879
0.23,3.567666,1.537979,0.592765583,9.569879
0.235,3.551761,1.537329,0.594388542,9.569879
0.24,3.568315,1.538303,0.592440991,9.569879
0.245,3.56442,1.538303,0.594063951,9.569555
0.25,3.575781,1.538952,0.593414767,9.570204
0.255,3.559876,1.538952,0.592440991,9.569555
0.26,3.565394,1.538628,0.594388542,9.569555
0.265,3.567017,1.538952,0.592765583,9.569555
0.27,3.566043,1.537654,0.594063951,9.569555
0.275,3.569614,1.538952,0.593090175,9.569555
0.28,3.561499,1.538303,0.592765583,9.569879
0.285,3.573834,1.537979,0.594713134,9.569879
0.29,3.558902,1.538952,0.592440991,9.569555
0.295,3.568315,1.537979,0.593739359,9.569879
0.3,3.569289,1.538628,0.593090175,9.568906
0.305,3.573184,1.539277,0.592440991,9.569555
0.31,3.56085,1.537654,0.594063951,9.569555
0.315,3.573184,1.537979,0.591791807,9.569879
0.32,3.556955,1.538628,0.593739359,9.569555
0.325,3.570263,1.537979,0.593414767,9.56923
0.33,3.561499,1.538628,0.592765583,9.568906
0.335,3.563447,1.538628,0.594063951,9.569555
0.34,3.566693,1.538628,0.592440991,9.569555
0.345,3.560525,1.538303,0.593414767,9.56923
0.35,3.568315,1.538628,0.593414767,9.569879
0.355,3.56864,1.537979,0.593090175,9.569555
0.36,3.56085,1.538303,0.594063951,9.56923
0.365,3.56507,1.538952,0.592765583,9.569555
0.37,3.56442,1.538952,0.594063951,9.56923
0.375,3.569614,1.538628,0.593090175,9.56923
0.38,3.562473,1.538303,0.593090175,9.569555
0.385,3.564096,1.537654,0.594388542,9.569555
0.39,3.561174,1.539277,0.592116399,9.569555
0.395,3.563122,1.538303,0.593739359,9.569555
0.4,3.558902,1.538303,0.593414767,9.570204
0.405,3.555332,1.539277,0.592765583,9.569879
0.41,3.567342,1.538628,0.594388542,9.569879
0.415,3.558253,1.538952,0.592440991,9.569555
0.42,3.56442,1.538952,0.594388542,9.569879
0.425,3.570588,1.538952,0.593739359,9.569879
0.43,3.558253,1.539602,0.592765583,9.569555
0.435,3.555332,1.538952,0.595037726,9.569555
0.44,3.557604,1.537979,0.592440991,9.569879
0.445,3.567991,1.537979,0.593739359,9.56923
0.45,3.566368,1.537329,0.593090175,9.569555
0.455,3.564745,1.538628,0.592765583,9.569879
0.46,3.563122,1.538628,0.594388542,9.569879
0.465,3.563447,1.539277,0.592440991,9.570204
0.47,3.558902,1.539602,0.593414767,9.569879
0.475,3.569289,1.538952,0.593414767,9.569555
0.48,3.567991,1.538628,0.592765583,9.570204
0.485,3.573834,1.537979,0.594388542,9.569555
0.49,3.566368,1.538628,0.592440991,9.569879
0.495,3.561499,1.538628,0.594063951,9.570204
0.5,3.567342,1.539926,0.593414767,9.569879
0.505,3.567991,1.538952,0.592765583,9.569879
0.51,3.565719,1.537979,0.594388542,9.569879
0.515,3.563447,1.539277,0.592440991,9.569879
0.52,3.56507,1.538628,0.594063951,9.569555
0.525,3.567666,1.538628,0.593414767,9.569879
0.53,3.569938,1.538628,0.592765583,9.569555
0.535,3.563447,1.538952,0.594388542,9.569555
0.54,3.568315,1.538952,0.592116399,9.569555
0.545,3.563771,1.538952,0.594063951,9.569555
0.55,3.560201,1.538628,0.593090175,9.56923
0.555,3.555007,1.537979,0.593414767,9.569555
0.56,3.567991,1.538303,0.594388542,9.569555
0.565,3.566043,1.538952,0.592440991,9.569879
0.57,3.568315,1.538628,0.593414767,9.569879
0.575,3.561499,1.538952,0.593739359,9.569879
0.58,3.563771,1.539277,0.593090175,9.569555
0.585,3.57708,1.538952,0.594713134,9.569879
0.59,3.562473,1.539277,0.591791807,9.569555
0.595,3.55663,1.538628,0.594063951,9.569879
0.6,3.566693,1.539277,0.593739359,9.569555
0.605,3.563771,1.538628,0.593090175,9.570204
0.61,3.553384,1.537654,0.594713134,9.569879
0.615,3.567666,1.539277,0.592440991,9.569555
0.62,3.562473,1.538303,0.593739359,9.569555
0.625,3.563122,1.538952,0.593090175,9.569555
0.63,3.570263,1.539277,0.592765583,9.570204
0.635,3.563771,1.538628,0.594063951,9.570204
0.64,3.566693,1.539277,0.592440991,9.569879
0.645,3.55663,1.538628,0.594063951,9.569879
0.65,3.568965,1.538952,0.593414767,9.569555
0.655,3.567991,1.538628,0.592765583,9.569879
0.66,3.576106,1.539277,0.594713134,9.569879
0.665,3.559227,1.539277,0.592765583,9.570204
0.67,3.562797,1.539602,0.593739359,9.570204
0.675,3.567017,1.539277,0.593739359,9.569555
0.68,3.566043,1.539277,0.592765583,9.56923
0.685,3.563447,1.537979,0.594713134,9.569555
0.69,3.567991,1.538628,0.592765583,9.569879
0.695,3.560525,1.538303,0.593739359,9.569879
0.7,3.558578,1.538628,0.593414767,9.569879
0.705,3.560525,1.539277,0.593090175,9.569879
0.71,3.569614,1.538628,0.594388542,9.570204
0.715,3.576755,1.538628,0.592440991,9.570204
0.72,3.560525,1.539602,0.593739359,9.569879
0.725,3.56864,1.539277,0.593090175,9.569879
0.73,3.571561,1.538952,0.592765583,9.570204
0.735,3.557279,1.539277,0.594388542,9.569555
0.74,3.561824,1.538303,0.591791807,9.569555
0.745,3.57708,1.538628,0.593739359,9.569555
0.75,3.562473,1.538952,0.593414767,9.570204
0.755,3.561824,1.538952,0.593090175,9.570204
0.76,3.569938,1.537979,0.594388542,9.569555
0.765,3.56442,1.539277,0.592116399,9.569879
0.77,3.557928,1.538952,0.593414767,9.570204
0.775,3.558902,1.538303,0.593739359,9.569879
0.78,3.56864,1.538628,0.593090175,9.569879
0.785,3.561174,1.539602,0.594388542,9.570204
0.79,3.564745,1.538952,0.592440991,9.569555
0.795,3.566043,1.538952,0.594063951,9.569555
0.8,3.565719,1.538303,0.593414767,9.569879
0.805,3.565394,1.538303,0.592765583,9.569879
0.81,3.56442,1.538628,0.594063951,9.569555
0.815,3.549164,1.538628,0.592440991,9.569555
0.82,3.564745,1.539602,0.593739359,9.569555
0.825,3.564096,1.538303,0.593414767,9.570204
0.83,3.558253,1.539277,0.592440991,9.569879
0.835,3.558578,1.539926,0.594388542,9.569879
0.84,3.560201,1.538952,0.592765583,9.570204
0.845,3.56507,1.538952,0.593739359,9.569879
0.85,3.562797,1.539926,0.593414767,9.569879
0.855,3.560525,1.539277,0.592440991,9.569879
0.86,3.558578,1.537005,0.594713134,9.569879
0.865,3.560201,1.538628,0.592440991,9.570204
0.87,3.563447,1.538628,0.594063951,9.569879
0.875,3.569938,1.539602,0.593739359,9.570204
0.88,3.562148,1.539926,0.592765583,9.569879
0.885,3.56085,1.538628,0.594063951,9.569555
0.89,3.574483,1.538628,0.592765583,9.569879
0.895,3.560525,1.538952,0.593739359,9.569555
0.9,3.558253,1.538952,0.593414767,9.569555
0.905,3.556955,1.538952,0.592765583,9.569879
0.91,3.553384,1.539277,0.594388542,9.570204
0.915,3.574158,1.538628,0.592765583,9.569879
0.92,3.572211,1.538952,0.593414767,9.569555
0.925,3.567017,1.539602,0.593739359,9.569879
0.93,3.565719,1.538952,0.592765583,9.56923
0.935,3.565719,1.539277,0.594713134,9.569555
0.94,3.563771,1.539277,0.592440991,9.569555
0.945,3.567342,1.539602,0.593739359,9.569879
0.95,3.557928,1.538303,0.593739359,9.569879
0.955,3.565719,1.538952,0.593090175,9.569879
0.96,3.563122,1.538628,0.594713134,9.570204
0.965,3.567991,1.537654,0.592440991,9.569879
0.97,3.565394,1.538952,0.594063951,9.570204
0.975,3.576106,1.538628,0.593739359,9.569879
0.98,3.567991,1.538303,0.592765583,9.569879
0.985,3.566368,1.538303,0.594713134,9.569879
0.99,3.561499,1.538303,0.592765583,9.569879
0.995,3.56442,1.537979,0.593739359,9.56923
1,3.565394,1.539602,0.593739359,9.569879
