Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0.00002,4.346373,2.977877,0.414240077,1.164048
0.00004,4.224649,2.99508,0.414564669,1.189366
0.00006,4.085722,2.997677,0.414240077,1.197481
0.00008,3.932837,2.993133,0.414889261,1.188068
0.0001,3.771188,2.986316,0.414564669,1.1621
0.00012,3.607267,2.977877,0.414889261,1.11828
0.00014,3.447566,2.968788,0.414564669,1.05888
0.00016,3.28819,2.959375,0.414240077,0.984548249
0.00018,3.126541,2.949637,0.413915485,0.894960788
0.0002,2.960349,2.939899,0.414240077,0.793688036
0.00022,2.80714,2.929837,0.414889261,0.681379186
0.00024,2.671784,2.921397,0.414889261,0.55965721
0.00026,2.552658,2.913607,0.414889261,0.430469665
0.00028,2.451709,2.906466,0.414240077,0.295764108
0.0003,2.368289,2.900948,0.414564669,0.158137277
0.00032,2.302071,2.896728,0.414564669,0.019536721
0.00034,2.261822,2.893482,0.414889261,-0.117765422
0.00036,2.250786,2.891859,0.414564669,-0.251821608
0.00038,2.23488,2.890561,0.414889261,-0.380359704
0.0004,2.255979,2.890885,0.414564669,-0.501107578
0.00042,2.293957,2.891859,0.414564669,-0.610494739
0.00044,2.323495,2.894131,0.414564669,-0.71079333
0.00046,2.389063,2.897053,0.414564669,-0.799731223
0.00048,2.480923,2.901272,0.414889261,-0.873413334
0.0005,2.592908,2.907115,0.415213852,-0.93151508
0.00052,2.719824,2.913932,0.414889261,-0.973387284
0.00054,2.857452,2.921397,0.414889261,-0.998705359
0.00056,3.00709,2.929837,0.415213852,-1.006171
0.00058,3.162571,2.938601,0.414889261,-0.997082405
0.0006,3.324544,2.948014,0.414889261,-0.969816786
0.00062,3.495606,2.958076,0.414564669,-0.925997037
0.00064,3.66537,2.967814,0.414889261,-0.866921519
0.00066,3.827668,2.978201,0.414889261,-0.791616452
0.00068,3.982825,2.98729,0.414889261,-0.703003149
0.0007,4.122401,2.996379,0.414889261,-0.601730783
0.00072,4.236335,3.004169,0.414889261,-0.489746893
0.00074,4.324625,3.010012,0.415213852,-0.368025242
0.00076,4.391817,3.015205,0.414889261,-0.239162551
0.00078,4.446673,3.0191,0.414889261,-0.10478177
0.0008,4.493091,3.022022,0.414889261,0.032195786
0.00082,4.527823,3.024294,0.415213852,0.170796347
0.00084,4.548922,3.026241,0.415213852,0.308098591
0.00086,4.565476,3.027215,0.415213852,0.442154968
0.00088,4.58268,3.028189,0.415213852,0.56842119
0.0009,4.59826,3.030461,0.415213852,0.688844802
0.00092,4.61092,3.031759,0.415213852,0.800829062
0.00094,4.612867,3.033058,0.414889261,0.902426409
0.00096,4.586575,3.032084,0.415213852,0.991040095
0.00098,4.531393,3.029487,0.414889261,1.064073
0.001,4.450244,3.025592,0.414889261,1.1225
0.00102,4.346048,3.020723,0.414889261,1.164048
0.00104,4.222702,3.013907,0.415213852,1.189691
0.00106,4.0828,3.006441,0.415213852,1.19813
0.00108,3.93024,2.998002,0.415213852,1.189041
0.0011,3.770214,2.988588,0.414564669,1.1621
0.00112,3.609864,2.9795,0.414889261,1.118605
0.00114,3.448215,2.969437,0.414889261,1.058555
0.00116,3.282996,2.959699,0.415213852,0.984223657
0.00118,3.118751,2.949312,0.415213852,0.895934565
0.0012,2.957427,2.939575,0.415213852,0.793688036
0.00122,2.81071,2.930161,0.415538444,0.681054594
0.00124,2.678276,2.921073,0.415213852,0.559332618
0.00126,2.561422,2.912958,0.415213852,0.430469665
0.00128,2.459175,2.906466,0.415213852,0.2960887
0.0013,2.370236,2.900299,0.415213852,0.158461869
0.00132,2.298825,2.895754,0.415538444,0.019536721
0.00134,2.251435,2.891859,0.415538444,-0.118090014
