Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0.635,3.56442,2.265392,0.434040174,4.076633
0.64,3.554358,2.264743,0.435987725,4.076958
0.645,3.566693,2.264743,0.435013949,4.076633
0.65,3.563771,2.265392,0.434689358,4.076633
0.655,3.561174,2.264419,0.435013949,4.076308
0.66,3.572211,2.265717,0.434040174,4.076958
0.665,3.557604,2.264743,0.435338541,4.076633
0.67,3.556955,2.265068,0.435013949,4.076308
0.675,3.564096,2.264094,0.434364766,4.076633
0.68,3.570263,2.265392,0.435013949,4.076308
0.685,3.573184,2.264094,0.433715582,4.076633
0.69,3.561499,2.265068,0.435338541,4.076633
0.695,3.561499,2.265068,0.434689358,4.076308
0.7,3.566368,2.264419,0.435013949,4.076633
0.705,3.561824,2.264419,0.435338541,4.076633
0.71,3.568965,2.265068,0.434040174,4.076633
0.715,3.565719,2.264743,0.435987725,4.076633
0.72,3.557928,2.265392,0.435013949,4.076308
0.725,3.566043,2.264743,0.434364766,4.076633
0.73,3.572211,2.265392,0.435338541,4.076633
0.735,3.566368,2.265392,0.433715582,4.076633
0.74,3.567017,2.264419,0.435987725,4.076633
0.745,3.561824,2.265717,0.434689358,4.075984
0.75,3.570588,2.264743,0.434689358,4.076633
0.755,3.565394,2.263769,0.435338541,4.076633
0.76,3.56085,2.264743,0.434040174,4.076633
0.765,3.559551,2.265717,0.435663133,4.076633
0.77,3.569614,2.265068,0.434689358,4.076308
0.775,3.566693,2.264743,0.434689358,4.076308
0.78,3.564745,2.265392,0.435013949,4.076633
0.785,3.570263,2.265068,0.434040174,4.075984
0.79,3.560525,2.265392,0.435663133,4.076308
0.795,3.565394,2.265068,0.434689358,4.076633
0.8,3.568315,2.265068,0.434364766,4.076633
0.805,3.56507,2.265717,0.435013949,4.076633
0.81,3.567017,2.264743,0.433715582,4.076633
0.815,3.565394,2.265392,0.435338541,4.076958
0.82,3.56085,2.265392,0.434689358,4.076633
0.825,3.562148,2.265392,0.434689358,4.076633
0.83,3.565719,2.264419,0.435338541,4.076633
0.835,3.554358,2.265068,0.433715582,4.076633
0.84,3.559227,2.265392,0.435338541,4.076633
0.845,3.557279,2.264419,0.434364766,4.075984
0.85,3.561174,2.263769,0.434689358,4.076633
0.855,3.56085,2.265717,0.435338541,4.076633
0.86,3.563771,2.265068,0.433715582,4.076958
0.865,3.553059,2.265392,0.435338541,4.076958
0.87,3.560525,2.265068,0.434689358,4.076958
0.875,3.564745,2.265068,0.435013949,4.076958
0.88,3.56442,2.264094,0.435013949,4.076633
0.885,3.575457,2.265068,0.433390991,4.076633
0.89,3.562148,2.265392,0.435663133,4.076633
0.895,3.562797,2.265717,0.434689358,4.076633
0.9,3.562797,2.265392,0.434364766,4.076633
0.905,3.563771,2.264743,0.435013949,4.076633
0.91,3.568965,2.265392,0.434040174,4.076633
0.915,3.561499,2.265717,0.435338541,4.076958
0.92,3.572211,2.265068,0.434689358,4.076633
0.925,3.562473,2.265392,0.434689358,4.076958
0.93,3.561499,2.265392,0.434689358,4.076633
0.935,3.569614,2.263445,0.433715582,4.076958
0.94,3.56507,2.265392,0.435338541,4.076308
0.945,3.563122,2.265392,0.434040174,4.076958
0.95,3.562473,2.265068,0.434689358,4.076308
0.955,3.569614,2.265392,0.435013949,4.076958
0.96,3.567342,2.265068,0.433715582,4.076308
0.965,3.552735,2.265068,0.435663133,4.076633
0.97,3.567991,2.264743,0.434040174,4.076633
0.975,3.559551,2.264419,0.434364766,4.076308
0.98,3.562473,2.265392,0.435013949,4.076633
0.985,3.554358,2.264419,0.433715582,4.076633
0.99,3.559227,2.264094,0.435338541,4.076308
0.995,3.575781,2.264094,0.434364766,4.075984
1,3.568965,2.264743,0.434689358,4.076308
