Time (s),Motor Speed (RPM),Load Cell 1,Load Cell 2
5.577,50,-0.975713189,-1.187829
5.61,50,-0.984145913,-1.221235
5.643,50,-1.001336,-1.238425
5.676,50,-0.997119335,-1.192369
5.709,50,-0.952685365,-1.200153
5.742,50,-1.006849,-1.2261
5.775,50,-0.95819907,-1.246209
5.808,50,-0.984794585,-1.181666
5.841,50,-0.952685365,-1.190099
5.874,50,-0.99452465,-1.242641
5.907,50,-0.985767591,-1.204045
5.94,50,-0.96695613,-1.200478
5.973,50,-1.001011,-1.20891
6.006,50,-1.015606,-1.2261
6.039,50,-0.974740183,-1.193342
6.072,50,-0.960469419,-1.186531
6.105,50,-0.996146328,-1.221884
6.138,50,-0.973767176,-1.209235
6.171,50,-0.951388023,-1.201451
6.204,50,-0.963712774,-1.177126
6.237,50,-0.996794999,-1.24329
6.27,50,-0.970523821,-1.197234
6.303,50,-0.972145498,-1.189126
6.336,50,-0.969226479,-1.231938
6.369,50,-0.975713189,-1.231938
6.402,50,-0.953982708,-1.190423
6.435,50,-0.989659618,-1.168693
6.468,50,-0.975713189,-1.261777
6.501,50,-0.998416677,-1.16253
6.534,50,-0.937765929,-1.220586
6.567,50,-0.994200315,-1.149881
6.6,50,-1.002633,-1.23583
6.633,50,-0.970848156,-1.201775
6.666,50,-0.957226063,-1.213451
6.699,50,-1.010417,-1.207613
6.732,50,-0.974091512,-1.237128
6.765,50,-0.971496827,-1.209559
6.798,50,-0.942306627,-1.221884
6.831,50,-0.998416677,-1.252371
6.864,50,-1.003606,-1.182639
6.897,50,-0.953334036,-1.195937
6.93,50,-0.983821578,-1.204694
6.963,50,-0.988686611,-1.245236
6.996,50,-0.966631794,-1.193991
7.029,50,-0.921224815,-1.21637
7.062,50,-1.002309,-1.200478
7.095,50,-0.933549567,-1.175828
7.128,50,-0.962415432,-1.211505
7.161,50,-0.948144667,-1.193018
7.194,50,-1.016255,-1.220262
7.227,50,-0.966307459,-1.18718
7.26,50,-0.963064103,-1.205991
7.293,50,-0.981226894,-1.19691
7.326,50,-0.977010532,-1.254642
7.359,50,-0.998416677,-1.151179
7.392,50,-0.934198238,-1.185234
7.425,50,-1.001984,-1.205667
7.458,50,-0.972469834,-1.204694
7.491,50,-0.967280465,-1.189775
7.524,50,-0.998092341,-1.1528
7.557,50,-0.990632624,-1.250101
7.59,50,-0.958847741,-1.223505
7.623,50,-0.99744367,-1.161882
7.656,50,-0.963064103,-1.223181
7.689,50,-0.981551229,-1.225451
7.722,50,-0.999389683,-1.182639
7.755,50,-0.960145083,-1.194964
7.788,50,-1.000363,-1.227073
7.821,50,-0.941982292,-1.236803
7.854,50,-1.004255,-1.162206
7.887,50,-0.96987515,-1.180369
7.92,50,-0.996146328,-1.252047
7.953,50,-0.971172492,-1.196586
7.986,50,-0.950415016,-1.193018
8.019,50,-0.968253472,-1.228695
8.052,50,-0.995497657,-1.205667
8.085,50,-0.933225231,-1.214424
8.118,50,-0.958847741,-1.182639
8.151,50,-1.020471,-1.211829
8.184,50,-0.962091096,-1.218965
8.217,50,-0.983821578,-1.18718
8.25,50,-0.967604801,-1.226749
8.283,50,-0.996794999,-1.218965
8.316,50,-0.960793754,-1.198532
8.349,50,-0.948469003,-1.182964
8.382,50,-1.022093,-1.192694
